 Destination, FirstReachTime, LastReachTime, AverageReachTime,LastDestroyedObjectPrefab,,,,,,,,,,,,
 Destination 1,3.29596,20.66817,10.72919, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 0,0.08762169,16.03688,3.61128, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 1,3.1817,21.09901,10.53366, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 0,0.1154861,14.35258,3.467945, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 1,2.794739,19.03376,10.44572, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 0,0.0654068,14.53754,3.454018, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 1,3.435196,19.08829,10.48448, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 0,0.1048813,14.90895,3.482201, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 1,2.817009,20.77541,10.50338, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 0,0.06630707,14.7674,3.559647, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 1,2.857758,19.59916,10.51565, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 0,0.085289,14.44402,3.391113, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 1,3.023743,18.66488,10.38616, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 0,0.3533334,16.35377,3.48943, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 1,3.119153,21.13757,10.40878, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 0,0.3533334,15.17484,3.645447, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 1,3.070337,19.29891,10.45583, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 0,0.0641861,15.21426,3.58099, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 1,2.901258,19.37236,10.28719, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 0,0.09647369,14.44998,3.470486, LastDestroyedObjectPrefab: Human5,,,,,,,,,,,,
 Destination 1,2.922073,20.28003,10.36544, LastDestroyedObjectPrefab: Human5,,,,,,,,,,,,
 Destination 0,0.06235123,14.98783,3.516727, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 1,3.376759,19.55983,10.36673, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 0,0.1423264,14.75364,3.338646, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 1,3.032745,19.0573,10.18224, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 0,0.07966614,15.52264,3.59742, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 1,2.980118,19.76366,10.41257, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 0,0.02,15.8157,3.415941, LastDestroyedObjectPrefab: Human,,,,,,,,,,,,
 Destination 1,2.991106,23.44682,10.64981, LastDestroyedObjectPrefab: Human,,,,,,,,,,,,
 Destination 0,0.0960083,13.70079,3.131702, LastDestroyedObjectPrefab: Human,,,,,,,,,,,,
 Destination 1,3.021292,19.24994,10.10398, LastDestroyedObjectPrefab: Human,,,,,,,,,,,,
 Destination 0,0.09163284,14.26677,3.086296, LastDestroyedObjectPrefab: Human,,,,,,,,,,,,
 Destination 1,2.786053,18.896,10.049, LastDestroyedObjectPrefab: Human,,,,,,,,,,,,
 Destination 0,0.08579636,13.10272,3.008942, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 1,2.894112,19.55951,10.06406, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 0,0.1001511,13.33527,2.980835, LastDestroyedObjectPrefab: Human,,,,,,,,,,,,
 Destination 1,3.186714,19.43999,9.750816, LastDestroyedObjectPrefab: Human,,,,,,,,,,,,
 Destination 0,0.07057953,15.18995,3.074211, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 1,2.873589,20.02614,9.993652, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 0,0.1490707,12.96774,2.985252, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 1,2.813835,18.98981,9.842781, LastDestroyedObjectPrefab: Human2,,,,,,,,,,,,
 Destination 0,0.06216431,13.97612,3.115295, LastDestroyedObjectPrefab: Human,,,,,,,,,,,,
 Destination 1,3.104111,19.87352,10.06393, LastDestroyedObjectPrefab: Human,,,,,,,,,,,,
 Destination 0,0.11586,13.30078,3.191696, LastDestroyedObjectPrefab: Human,,,,,,,,,,,,
 Destination 1,2.959366,19.70389,10.03802, LastDestroyedObjectPrefab: Human,,,,,,,,,,,,
